,drug_row,drug_col,DepMap_ID,synergy_loewe,drug_pair
0,0,19,13,-9.01376229175426,0
1,0,8,13,-7.86969111712712,1
2,0,10,13,7.75741024699119,2
3,0,20,13,-9.581096477986597,3
4,0,23,13,9.63771487731508,4
5,0,34,13,-5.817682387062909,5
6,0,26,13,-8.64122455124189,6
7,0,3,13,7.79517299985511,7
8,0,14,13,-11.4901491795629,8
9,0,7,13,-12.1818009990615,9
10,5,8,13,-32.2073485680706,10
11,5,20,13,-19.5621843924556,11
12,5,29,13,-14.9718737854663,12
13,5,37,13,-4.03143455768355,13
14,5,4,13,7.48900054187124,14
15,5,21,13,-45.1354283316471,15
16,19,5,13,-42.2410982775668,16
17,19,8,13,4.84838077028387,17
18,19,12,13,-6.202798890109395,18
19,19,10,13,6.36325427073484,19
20,19,20,13,-2.91338909001967,20
21,19,27,13,-19.3485793908566,21
22,19,11,13,-11.0971435494132,22
23,19,24,13,2.18399017390451,23
24,19,26,13,-31.5067330187997,24
25,19,25,13,-15.9982481110796,25
26,19,30,13,6.709997671054859,26
27,19,29,13,17.033789286723,27
28,19,37,13,-30.0274725561502,28
29,19,4,13,26.7528032398558,29
30,19,14,13,-18.6305531678053,30
31,19,21,13,17.738044341867898,31
32,8,20,13,3.20803606430774,32
33,8,37,13,-39.9722647964656,33
34,8,4,13,4.01797407987334,34
35,8,14,13,-8.52575311941711,35
36,12,5,13,-21.420278078208906,36
37,12,10,13,-4.05572606284329,37
38,12,20,13,-6.87137027556717,38
39,12,27,13,-8.476906194339705,39
40,12,37,13,-25.2784882857811,40
41,12,4,13,-8.823091523999889,41
42,12,14,13,-9.08575577077983,42
43,12,21,13,-1.65805058430176,43
44,16,8,13,-14.0273157683434,44
45,16,12,13,-3.891089694078385,45
46,16,10,13,6.028003366246445,46
47,16,20,13,-5.377905060069541,47
48,16,34,13,-12.0624416515184,48
49,16,24,13,-7.2681667131386,49
50,16,29,13,13.0365994917337,50
51,16,14,13,-19.2109486554008,51
52,16,7,13,-18.2416792985406,52
53,17,5,13,-7.6531278906882205,53
54,17,19,13,-54.229684271581405,54
55,17,8,13,-50.932830106670096,55
56,17,12,13,-52.9105124455236,56
57,17,20,13,-61.0294314491548,57
58,17,23,13,-19.70258662193629,58
59,17,27,13,-32.4026617944458,59
60,17,11,13,-7.118424151907065,60
61,17,24,13,-20.9307368424185,61
62,17,25,13,-11.0863252225039,62
63,17,30,13,-10.175704706354889,63
64,17,29,13,-27.4277562043344,64
65,17,3,13,-4.74253629965546,65
66,17,6,13,-33.57321309958325,66
67,10,8,13,8.291925738529429,67
68,10,29,13,14.2546138929306,68
69,10,37,13,-2.74505053796676,69
70,10,4,13,10.470141102705789,70
